Project,Note,MMRE,MAE,Accuracy
test_clover,test,0.7600422643955993,4.675324675324675,0.3116883116883117
appceleratorstudio_porru_method,exp,0.26681594661046715,1.303082191780822,0.5051369863013698
aptanastudio_porru_method,exp,0.49566578000312944,3.6144578313253013,0.2469879518072289
bamboo_porru_method,exp,0.41117216117216115,0.8076923076923077,0.33653846153846156
clover_porru_method,exp,0.7600422643955993,4.675324675324675,0.3116883116883117
datamanagement_porru_method,exp,1.050963377177651,7.246516613076099,0.19721329046087888
duracloud_porru_method,exp,0.4167084377610693,0.7969924812030075,0.48872180451127817
jirasoftware_porru_method,exp,0.6319529676672534,3.242857142857143,0.17142857142857143
mesos_porru_method,exp,0.44830898268398267,1.2202380952380953,0.30357142857142855
moodle_porru_method,exp,0.8996897237240584,6.459227467811159,0.11587982832618025
mule_porru_method,exp,0.7267216145170425,3.865168539325843,0.21348314606741572
mulestudio_porru_method,exp,0.5537449612792078,3.5821917808219177,0.2876712328767123
springxd_porru_method,exp,0.8081999324552516,2.2822695035460994,0.2453900709219858
talenddataquality_porru_method,exp,1.0746396115961332,5.5144927536231885,0.07246376811594203
talendesb_porru_method,exp,0.4980842911877394,1.0459770114942528,0.43103448275862066
titanium_porru_method,exp,0.39393433726767063,2.04,0.41333333333333333
usergrid_porru_method,exp,0.4076704545454546,1.15625,0.40625